,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,volume2,volume3,volume4
0,2023-10-27 12:00:00,OANDA:AUDJPY,95.306,95.328,95.29,95.31,566.0,Interval.in_2_hour,57412800.0,long,neutral,neutral
1,2023-10-27 10:00:00,OANDA:AUDJPY,95.156,95.342,95.092,95.306,12150.0,Interval.in_2_hour,57405600.0,neutral,neutral,neutral
2,2023-10-27 08:00:00,OANDA:AUDJPY,95.269,95.324,95.156,95.156,8540.0,Interval.in_2_hour,57398400.0,neutral,neutral,neutral
3,2023-10-27 06:00:00,OANDA:AUDJPY,95.216,95.289,95.166,95.269,4695.0,Interval.in_2_hour,57391200.0,neutral,neutral,neutral
4,2023-10-27 04:00:00,OANDA:AUDJPY,95.26,95.32,95.094,95.216,8284.0,Interval.in_2_hour,57384000.0,neutral,neutral,neutral
5,2023-10-27 02:00:00,OANDA:AUDJPY,95.12,95.318,95.118,95.26,8056.0,Interval.in_2_hour,57376800.0,long,neutral,neutral
6,2023-10-27 00:00:00,OANDA:AUDJPY,95.083,95.162,95.036,95.12,1692.0,Interval.in_2_hour,57369600.0,neutral,neutral,neutral
7,2023-10-26 22:00:00,OANDA:AUDJPY,95.158,95.183,94.942,95.083,7367.0,Interval.in_2_hour,57362400.0,neutral,neutral,neutral
8,2023-10-26 20:00:00,OANDA:AUDJPY,94.806,95.202,94.792,95.158,11154.0,Interval.in_2_hour,57355200.0,neutral,neutral,neutral
9,2023-10-26 18:00:00,OANDA:AUDJPY,95.036,95.047,94.795,94.806,14843.0,Interval.in_2_hour,57348000.0,neutral,neutral,neutral
10,2023-10-26 16:00:00,OANDA:AUDJPY,94.948,95.0885,94.816,95.036,25154.0,Interval.in_2_hour,57340800.0,long,neutral,neutral
11,2023-10-26 14:00:00,OANDA:AUDJPY,94.714,94.956,94.692,94.948,17503.0,Interval.in_2_hour,57333600.0,neutral,neutral,neutral
12,2023-10-26 12:00:00,OANDA:AUDJPY,94.897,94.946,94.6895,94.714,10403.0,Interval.in_2_hour,57326400.0,neutral,neutral,neutral
13,2023-10-26 10:00:00,OANDA:AUDJPY,94.674,94.947,94.66,94.897,14385.0,Interval.in_2_hour,57319200.0,long,long,long
14,2023-10-26 08:00:00,OANDA:AUDJPY,94.429,94.822,94.428,94.674,12382.0,Interval.in_2_hour,57312000.0,long,long,neutral
15,2023-10-26 06:00:00,OANDA:AUDJPY,94.394,94.47,94.366,94.429,6664.0,Interval.in_2_hour,57304800.0,long,neutral,neutral
