,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,profit_in_bars_1,profit_in_bars_2,profit_in_bars_3,profit_in_bars_4,profit_in_bars_5,profit_in_bars_6,profit_in_bars_7,profit_in_bars_8,profit_in_bars_9,profit_in_bars_10,profit_in_bars_11,profit_in_bars_12,profit_in_bars_13,profit_in_bars_14,profit_in_bars_15,profit_in_bars_16,profit_in_bars_17,profit_in_bars_18,profit_in_bars_19,profit_in_bars_20,profit_in_bars_21,profit_in_bars_22,profit_in_bars_23,profit_in_bars_24,profit_in_bars_25,profit_in_bars_26,profit_in_bars_27,profit_in_bars_28,profit_in_bars_29,profit_in_bars_30
0,2023-10-27 12:00:00,OANDA:AUDUSD,0.63504,0.6352800000000001,0.6349199999999999,0.6352249999999999,205.0,Interval.in_15_minute,57412800.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,2023-10-27 11:45:00,OANDA:AUDUSD,0.63506,0.63518,0.63483,0.63504,362.0,Interval.in_15_minute,57411900.0,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,2023-10-27 11:30:00,OANDA:AUDUSD,0.63494,0.63516,0.6348,0.63506,350.0,Interval.in_15_minute,57411000.0,short,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,2023-10-27 11:15:00,OANDA:AUDUSD,0.6345,0.635045,0.634455,0.63494,598.0,Interval.in_15_minute,57410100.0,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,2023-10-27 11:00:00,OANDA:AUDUSD,0.63428,0.6347,0.63418,0.6345,526.0,Interval.in_15_minute,57409200.0,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,2023-10-27 10:45:00,OANDA:AUDUSD,0.63404,0.634285,0.63379,0.63428,437.0,Interval.in_15_minute,57408300.0,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,2023-10-27 10:30:00,OANDA:AUDUSD,0.6337,0.63406,0.63344,0.63404,528.0,Interval.in_15_minute,57407400.0,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,2023-10-27 10:15:00,OANDA:AUDUSD,0.63328,0.63374,0.63314,0.6337,684.0,Interval.in_15_minute,57406500.0,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,2023-10-27 10:00:00,OANDA:AUDUSD,0.63357,0.63372,0.63312,0.63328,620.0,Interval.in_15_minute,57405600.0,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,2023-10-27 09:45:00,OANDA:AUDUSD,0.63397,0.63398,0.63356,0.63357,470.0,Interval.in_15_minute,57404700.0,short,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10,2023-10-27 09:30:00,OANDA:AUDUSD,0.63428,0.6344,0.63384,0.63397,487.0,Interval.in_15_minute,57403800.0,short,short,short,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11,2023-10-27 09:15:00,OANDA:AUDUSD,0.63442,0.634485,0.63404,0.63428,417.0,Interval.in_15_minute,57402900.0,short,short,short,short,short,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
12,2023-10-27 09:00:00,OANDA:AUDUSD,0.63447,0.635085,0.63434,0.63442,413.0,Interval.in_15_minute,57402000.0,short,short,short,short,short,short,short,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13,2023-10-27 08:45:00,OANDA:AUDUSD,0.63403,0.6346,0.63403,0.63447,302.0,Interval.in_15_minute,57401100.0,short,short,short,short,short,short,short,short,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
14,2023-10-27 08:30:00,OANDA:AUDUSD,0.63424,0.63447,0.6338,0.63403,361.0,Interval.in_15_minute,57400200.0,long,long,long,short,short,short,short,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
15,2023-10-27 08:15:00,OANDA:AUDUSD,0.63418,0.63437,0.6341,0.63424,325.0,Interval.in_15_minute,57399300.0,short,long,long,long,short,short,short,short,short,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
16,2023-10-27 08:00:00,OANDA:AUDUSD,0.63439,0.63464,0.63401,0.63418,344.0,Interval.in_15_minute,57398400.0,long,short,long,long,long,short,short,short,short,short,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None
17,2023-10-27 07:45:00,OANDA:AUDUSD,0.6341,0.634505,0.63402,0.63439,196.0,Interval.in_15_minute,57397500.0,short,short,short,long,long,short,short,short,short,short,short,short,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None
18,2023-10-27 07:30:00,OANDA:AUDUSD,0.63389,0.63415,0.63383,0.6341,216.0,Interval.in_15_minute,57396600.0,long,long,long,short,long,long,long,short,short,short,short,short,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None
19,2023-10-27 07:15:00,OANDA:AUDUSD,0.63384,0.63402,0.63381,0.63389,128.0,Interval.in_15_minute,57395700.0,long,long,long,long,long,long,long,long,long,short,short,short,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None
20,2023-10-27 07:00:00,OANDA:AUDUSD,0.63388,0.63395,0.63371,0.63384,206.0,Interval.in_15_minute,57394800.0,long,long,long,long,long,long,long,long,long,long,short,short,short,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None
21,2023-10-27 06:45:00,OANDA:AUDUSD,0.63367,0.63393,0.633635,0.63388,204.0,Interval.in_15_minute,57393900.0,short,long,long,long,long,long,long,long,long,long,long,short,short,short,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None
22,2023-10-27 06:30:00,OANDA:AUDUSD,0.63398,0.63398,0.63365,0.63367,239.0,Interval.in_15_minute,57393000.0,long,long,long,long,long,long,long,long,long,long,long,long,short,short,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None
23,2023-10-27 06:15:00,OANDA:AUDUSD,0.63388,0.63405,0.63374,0.63398,310.0,Interval.in_15_minute,57392100.0,short,short,short,short,long,long,long,long,long,long,long,long,short,short,short,short,long,long,long,long,long,long,long,None,None,None,None,None,None,None
24,2023-10-27 06:00:00,OANDA:AUDUSD,0.63404,0.63425,0.63374,0.63388,320.0,Interval.in_15_minute,57391200.0,long,short,long,short,long,long,long,long,long,long,long,long,long,long,short,short,short,long,long,long,long,long,long,long,None,None,None,None,None,None
25,2023-10-27 05:45:00,OANDA:AUDUSD,0.63395,0.63408,0.63373,0.63404,344.0,Interval.in_15_minute,57390300.0,short,short,short,short,short,short,long,long,long,long,short,long,long,long,short,short,short,short,long,long,long,long,long,long,long,None,None,None,None,None
26,2023-10-27 05:30:00,OANDA:AUDUSD,0.63383,0.63428,0.63383,0.63395,398.0,Interval.in_15_minute,57389400.0,long,short,long,short,short,short,short,long,long,long,long,long,long,long,long,long,short,short,short,long,long,long,long,long,long,long,None,None,None,None
27,2023-10-27 05:15:00,OANDA:AUDUSD,0.63394,0.63418,0.63382,0.63383,306.0,Interval.in_15_minute,57388500.0,long,long,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,long,long,long,long,long,long,long,None,None,None
28,2023-10-27 05:00:00,OANDA:AUDUSD,0.63381,0.63426,0.633675,0.63394,492.0,Interval.in_15_minute,57387600.0,short,long,long,short,long,short,short,short,short,long,long,long,long,long,long,long,long,long,short,short,short,long,long,long,long,long,long,long,None,None
