,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,nw3,nw2
0,0,2023-10-27 12:00:00,OANDA:AUDCAD,0.87645,0.87668,0.87633,0.8766400000000001,117.0,Interval.in_45_minute,57412800.0,long,long
1,1,2023-10-27 11:15:00,OANDA:AUDCAD,0.8764,0.87682,0.876235,0.87645,1092.0,Interval.in_45_minute,57410100.0,long,long
2,2,2023-10-27 10:30:00,OANDA:AUDCAD,0.87594,0.87659,0.87563,0.8764,1065.0,Interval.in_45_minute,57407400.0,long,long
3,3,2023-10-27 09:45:00,OANDA:AUDCAD,0.87588,0.87594,0.87528,0.87594,1301.0,Interval.in_45_minute,57404700.0,long,long
4,4,2023-10-27 09:00:00,OANDA:AUDCAD,0.87616,0.87671,0.87582,0.87588,1329.0,Interval.in_45_minute,57402000.0,long,long
5,5,2023-10-27 08:15:00,OANDA:AUDCAD,0.87561,0.87623,0.87534,0.87616,841.0,Interval.in_45_minute,57399300.0,long,long
6,6,2023-10-27 07:30:00,OANDA:AUDCAD,0.87531,0.87612,0.87528,0.87561,634.0,Interval.in_45_minute,57396600.0,long,long
7,7,2023-10-27 06:45:00,OANDA:AUDCAD,0.87523,0.87546,0.8752,0.87531,353.0,Interval.in_45_minute,57393900.0,long,long
8,8,2023-10-27 06:00:00,OANDA:AUDCAD,0.87558,0.87575,0.87523,0.87523,647.0,Interval.in_45_minute,57391200.0,long,long
9,9,2023-10-27 05:15:00,OANDA:AUDCAD,0.8758,0.87588,0.875215,0.87558,825.0,Interval.in_45_minute,57388500.0,long,long
10,10,2023-10-27 04:30:00,OANDA:AUDCAD,0.87512,0.87628,0.8749,0.8758,1246.0,Interval.in_45_minute,57385800.0,long,long
11,11,2023-10-27 03:45:00,OANDA:AUDCAD,0.87568,0.8761,0.87474,0.87512,1058.0,Interval.in_45_minute,57383100.0,long,short
12,12,2023-10-27 03:00:00,OANDA:AUDCAD,0.87506,0.8759,0.87485,0.87568,835.0,Interval.in_45_minute,57380400.0,long,short
13,13,2023-10-27 02:15:00,OANDA:AUDCAD,0.8746,0.87528,0.87452,0.87506,347.0,Interval.in_45_minute,57377700.0,long,long
14,14,2023-10-27 01:30:00,OANDA:AUDCAD,0.87446,0.8747,0.87425,0.8746,378.0,Interval.in_45_minute,57375000.0,long,short
15,15,2023-10-27 00:45:00,OANDA:AUDCAD,0.8742,0.87485,0.874075,0.87446,315.0,Interval.in_45_minute,57372300.0,long,short
