,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,UMA,Volume,interval,symbol,ScalpPro8108,Volume2,UMA20,NW
0,2023-10-12 00:00:00,158.319,long,long,short,long,neutral,Interval.in_1_hour,EURJPY,long,neutral,long,short
1,2023-10-11 22:00:00,158.344,neutral,neutral,short,short,neutral,Interval.in_1_hour,EURJPY,long,long,long,short
2,2023-10-11 21:00:00,158.322,neutral,neutral,short,long,neutral,Interval.in_1_hour,EURJPY,long,neutral,long,short
3,2023-10-11 20:00:00,158.052,short,short,short,long,neutral,Interval.in_1_hour,EURJPY,long,neutral,long,short
4,2023-10-11 19:00:00,158.208,neutral,neutral,short,long,neutral,Interval.in_1_hour,EURJPY,long,neutral,long,short
5,2023-10-11 18:00:00,158.136,long,long,short,long,neutral,Interval.in_1_hour,EURJPY,long,neutral,long,short
6,2023-10-11 17:00:00,158.445,neutral,neutral,short,long,long,Interval.in_1_hour,EURJPY,long,long,long,short
7,2023-10-11 16:00:00,158.334,neutral,neutral,short,long,long,Interval.in_1_hour,EURJPY,long,long,long,short
8,2023-10-11 15:00:00,158.026,neutral,neutral,short,long,neutral,Interval.in_1_hour,EURJPY,long,long,long,short
9,2023-10-11 14:00:00,157.827,neutral,neutral,short,short,neutral,Interval.in_1_hour,EURJPY,long,neutral,short,short
10,2023-10-11 13:00:00,157.659,neutral,neutral,short,short,neutral,Interval.in_1_hour,EURJPY,long,short,short,short
11,2023-10-11 12:00:00,157.668,neutral,neutral,short,short,neutral,Interval.in_1_hour,EURJPY,long,neutral,short,short
12,2023-10-11 11:00:00,157.713,short,short,short,short,neutral,Interval.in_1_hour,EURJPY,long,neutral,short,short
13,2023-10-11 10:00:00,157.687,long,long,short,long,neutral,Interval.in_1_hour,EURJPY,long,neutral,long,short
14,2023-10-11 09:00:00,157.984,short,short,short,long,long,Interval.in_1_hour,EURJPY,long,long,long,short
15,2023-10-11 08:00:00,157.882,neutral,neutral,short,long,long,Interval.in_1_hour,EURJPY,long,long,long,short
16,2023-10-11 07:00:00,157.849,neutral,neutral,short,long,long,Interval.in_1_hour,EURJPY,long,long,long,short
17,2023-10-11 06:00:00,157.818,neutral,neutral,short,long,long,Interval.in_1_hour,EURJPY,long,long,long,short
18,2023-10-11 05:00:00,157.76,neutral,neutral,short,long,long,Interval.in_1_hour,EURJPY,long,long,long,short
19,2023-10-11 04:00:00,157.68,neutral,neutral,short,short,neutral,Interval.in_1_hour,EURJPY,long,long,long,short
