,datetime,close_price,ScalpPro,NW,UMA,Volume
0,2023-10-12 00:00:00,0.64146,long,long,short,long
1,2023-10-11 22:00:00,0.64107,long,long,short,long
2,2023-10-11 21:00:00,0.6406,long,long,short,neutral
3,2023-10-11 20:00:00,0.63962,long,long,short,short
4,2023-10-11 19:00:00,0.64035,long,long,short,short
5,2023-10-11 18:00:00,0.64064,long,long,short,short
6,2023-10-11 17:00:00,0.64156,long,long,long,neutral
7,2023-10-11 16:00:00,0.64252,long,long,long,long
8,2023-10-11 15:00:00,0.64221,long,long,short,neutral
9,2023-10-11 14:00:00,0.64138,long,long,short,short
10,2023-10-11 13:00:00,0.64175,long,long,long,short
11,2023-10-11 12:00:00,0.64204,long,long,long,neutral
12,2023-10-11 11:00:00,0.64227,long,long,long,neutral
13,2023-10-11 10:00:00,0.6418,long,long,long,neutral
14,2023-10-11 09:00:00,0.64188,long,long,long,neutral
15,2023-10-11 08:00:00,0.64147,long,long,short,short
16,2023-10-11 07:00:00,0.64201,long,long,long,short
17,2023-10-11 06:00:00,0.64226,long,long,long,short
18,2023-10-11 05:00:00,0.64261,long,long,long,short
19,2023-10-11 04:00:00,0.64328,long,long,long,neutral
20,2023-10-11 03:00:00,0.64386,long,long,long,long
21,2023-10-11 02:00:00,0.6432,long,long,long,long
22,2023-10-11 01:00:00,0.64306,long,long,long,neutral
23,2023-10-11 00:00:00,0.64304,long,long,long,neutral
24,2023-10-10 23:00:00,0.643175,long,long,long,long
25,2023-10-10 22:00:00,0.64289,long,long,long,long
26,2023-10-10 21:00:00,0.64236,long,short,long,neutral
27,2023-10-10 20:00:00,0.64161,long,short,long,short
28,2023-10-10 19:00:00,0.64274,long,short,long,neutral
29,2023-10-10 18:00:00,0.64296,long,short,long,long
30,2023-10-10 17:00:00,0.64126,long,short,long,long
31,2023-10-10 16:00:00,0.6405,long,short,long,long
32,2023-10-10 15:00:00,0.63998,long,short,long,neutral
33,2023-10-10 14:00:00,0.63947,long,short,long,short
34,2023-10-10 13:00:00,0.64052,long,short,long,short
35,2023-10-10 12:00:00,0.6415,long,short,long,neutral
36,2023-10-10 11:00:00,0.64203,long,short,long,neutral
37,2023-10-10 10:00:00,0.63983,long,short,long,short
38,2023-10-10 09:00:00,0.64036,long,short,long,short
39,2023-10-10 08:00:00,0.64094,long,short,long,short
40,2023-10-10 07:00:00,0.64098,long,short,long,neutral
41,2023-10-10 06:00:00,0.64151,long,short,long,neutral
42,2023-10-10 05:00:00,0.64117,long,short,long,neutral
43,2023-10-10 04:00:00,0.64244,long,short,long,neutral
44,2023-10-10 03:00:00,0.64174,long,short,long,neutral
45,2023-10-10 02:00:00,0.64214,long,short,long,long
46,2023-10-10 01:00:00,0.64103,long,short,long,neutral
47,2023-10-10 00:00:00,0.64096,long,short,long,short
48,2023-10-09 23:00:00,0.64118,long,short,long,neutral
49,2023-10-09 22:00:00,0.6413,long,short,long,long
50,2023-10-09 21:00:00,0.64122,long,short,long,long
51,2023-10-09 20:00:00,0.64014,long,short,long,neutral
52,2023-10-09 19:00:00,0.63776,long,long,short,neutral
53,2023-10-09 18:00:00,0.6379,long,long,short,neutral
54,2023-10-09 17:00:00,0.63763,long,long,short,neutral
55,2023-10-09 16:00:00,0.63794,long,short,short,long
56,2023-10-09 15:00:00,0.63673,long,long,short,long
57,2023-10-09 14:00:00,0.63645,long,long,short,neutral
58,2023-10-09 13:00:00,0.63584,long,long,long,neutral
59,2023-10-09 12:00:00,0.63619,long,long,long,long
60,2023-10-09 11:00:00,0.63596,long,long,long,long
61,2023-10-09 10:00:00,0.63551,long,long,short,neutral
62,2023-10-09 09:00:00,0.63452,long,long,short,neutral
63,2023-10-09 08:00:00,0.63556,long,long,short,neutral
64,2023-10-09 07:00:00,0.63484,long,long,short,short
65,2023-10-09 06:00:00,0.6352,long,long,short,short
66,2023-10-09 05:00:00,0.6365,long,short,long,short
67,2023-10-09 04:00:00,0.637,long,short,long,neutral
68,2023-10-09 03:00:00,0.63806,long,short,long,long
69,2023-10-09 02:00:00,0.63692,long,short,short,long
70,2023-10-09 01:00:00,0.63581,long,short,short,neutral
71,2023-10-09 00:00:00,0.63563,long,short,long,short
72,2023-10-06 23:00:00,0.63846,long,short,long,short
73,2023-10-06 22:00:00,0.63873,long,short,long,neutral
74,2023-10-06 21:00:00,0.63958,long,short,long,long
75,2023-10-06 20:00:00,0.6388,long,short,long,neutral
76,2023-10-06 19:00:00,0.63794,long,short,long,neutral
77,2023-10-06 18:00:00,0.63923,long,short,short,long
78,2023-10-06 17:00:00,0.63496,long,long,short,long
79,2023-10-06 16:00:00,0.63346,long,long,short,neutral
