,datetime,close_price,ScalpPro,NW,UMA,Volume
0,2023-10-12 00:00:00,1.91941,long,short,long,short
1,2023-10-11 22:30:00,1.9199,long,long,long,neutral
2,2023-10-11 21:45:00,1.92082,long,long,long,neutral
3,2023-10-11 21:00:00,1.9202,long,long,long,neutral
4,2023-10-11 20:15:00,1.92109,long,long,long,neutral
5,2023-10-11 19:30:00,1.91984,long,short,long,neutral
6,2023-10-11 18:45:00,1.92057,long,short,long,long
7,2023-10-11 18:00:00,1.9199,long,short,long,neutral
8,2023-10-11 17:15:00,1.91916,long,short,long,neutral
9,2023-10-11 16:30:00,1.91958,long,short,long,long
10,2023-10-11 15:45:00,1.91789,long,long,long,long
11,2023-10-11 15:00:00,1.91726,long,long,long,long
12,2023-10-11 14:15:00,1.91619,long,long,long,long
13,2023-10-11 13:30:00,1.91517,long,long,long,long
14,2023-10-11 12:45:00,1.91481,long,long,long,long
15,2023-10-11 12:00:00,1.91216,long,long,long,neutral
16,2023-10-11 11:15:00,1.91203,long,long,long,neutral
17,2023-10-11 10:30:00,1.91294,long,long,long,neutral
18,2023-10-11 09:45:00,1.91216,long,long,long,neutral
19,2023-10-11 09:00:00,1.91543,long,long,long,long
20,2023-10-11 08:15:00,1.91541,long,long,long,long
21,2023-10-11 07:30:00,1.91452,long,long,long,long
22,2023-10-11 06:45:00,1.91434,long,short,short,neutral
23,2023-10-11 06:00:00,1.91342,long,short,short,neutral
24,2023-10-11 05:15:00,1.91348,long,short,short,long
25,2023-10-11 04:30:00,1.9122,long,short,short,long
26,2023-10-11 03:45:00,1.9108,long,short,short,neutral
27,2023-10-11 03:00:00,1.90902,long,short,short,short
28,2023-10-11 02:15:00,1.91066,long,short,long,neutral
29,2023-10-11 01:30:00,1.91092,long,short,long,long
30,2023-10-11 00:45:00,1.9105,long,short,long,neutral
31,2023-10-11 00:00:00,1.91021,long,short,long,short
32,2023-10-10 23:15:00,1.91022,long,long,long,short
33,2023-10-10 22:30:00,1.91068,long,long,long,neutral
34,2023-10-10 21:45:00,1.91147,long,long,long,neutral
35,2023-10-10 21:00:00,1.91107,long,long,long,neutral
36,2023-10-10 20:15:00,1.91254,long,long,long,neutral
37,2023-10-10 19:30:00,1.9115,long,long,long,neutral
38,2023-10-10 18:45:00,1.91173,long,long,long,neutral
39,2023-10-10 18:00:00,1.9102,long,long,long,short
40,2023-10-10 17:15:00,1.91141,long,long,long,short
41,2023-10-10 16:30:00,1.91222,long,long,long,short
42,2023-10-10 15:45:00,1.91386,long,long,long,neutral
43,2023-10-10 15:00:00,1.91486,long,short,long,neutral
44,2023-10-10 14:15:00,1.9141,long,short,long,neutral
45,2023-10-10 13:30:00,1.91438,long,short,long,long
46,2023-10-10 12:45:00,1.91376,long,short,long,long
47,2023-10-10 12:00:00,1.91291,long,short,long,long
48,2023-10-10 11:15:00,1.9113,long,short,short,neutral
49,2023-10-10 10:30:00,1.91002,long,short,short,neutral
50,2023-10-10 09:45:00,1.91048,long,short,short,long
51,2023-10-10 09:00:00,1.90934,long,short,short,long
52,2023-10-10 08:15:00,1.90776,long,short,short,neutral
53,2023-10-10 07:30:00,1.90672,long,short,short,neutral
54,2023-10-10 06:45:00,1.9076,long,short,short,neutral
55,2023-10-10 06:00:00,1.9071,long,short,short,neutral
56,2023-10-10 05:15:00,1.90852,long,long,short,long
57,2023-10-10 04:30:00,1.90616,long,long,short,neutral
58,2023-10-10 03:45:00,1.90552,long,long,short,short
59,2023-10-10 03:00:00,1.9073,long,short,short,short
60,2023-10-10 02:15:00,1.90766,long,short,short,short
61,2023-10-10 01:30:00,1.90838,long,short,short,short
62,2023-10-10 00:45:00,1.90896,long,short,short,neutral
63,2023-10-10 00:00:00,1.9094,long,short,short,neutral
64,2023-10-09 23:15:00,1.908635,long,short,short,neutral
65,2023-10-09 22:30:00,1.90916,long,long,short,neutral
66,2023-10-09 21:45:00,1.9089,long,long,short,short
67,2023-10-09 21:00:00,1.90893,long,long,short,short
68,2023-10-09 20:15:00,1.91094,long,short,short,short
69,2023-10-09 19:30:00,1.91314,long,short,short,neutral
70,2023-10-09 18:45:00,1.91376,long,short,short,neutral
71,2023-10-09 18:00:00,1.91316,long,short,short,neutral
72,2023-10-09 17:15:00,1.91501,long,long,short,neutral
73,2023-10-09 16:30:00,1.9136,long,long,short,neutral
74,2023-10-09 15:45:00,1.91416,long,long,short,long
75,2023-10-09 15:00:00,1.91396,long,long,short,neutral
76,2023-10-09 14:15:00,1.91204,long,long,short,short
77,2023-10-09 13:30:00,1.91282,long,long,short,short
78,2023-10-09 12:45:00,1.9129,long,long,short,short
79,2023-10-09 12:00:00,1.91387,long,long,short,neutral
80,2023-10-09 11:15:00,1.9149,long,long,short,neutral
81,2023-10-09 10:30:00,1.91448,long,long,short,short
82,2023-10-09 09:45:00,1.91569,long,short,short,short
83,2023-10-09 09:00:00,1.91916,long,short,long,short
84,2023-10-09 08:15:00,1.92006,long,short,long,neutral
85,2023-10-09 07:30:00,1.92152,long,short,long,long
86,2023-10-09 06:45:00,1.92027,long,short,long,long
87,2023-10-09 06:00:00,1.91944,long,short,long,long
88,2023-10-09 05:15:00,1.91858,long,short,short,neutral
89,2023-10-09 04:30:00,1.91745,long,short,short,neutral
90,2023-10-09 03:45:00,1.91829,long,short,short,neutral
91,2023-10-09 03:00:00,1.91702,long,short,long,short
92,2023-10-09 02:15:00,1.91852,long,short,long,neutral
93,2023-10-09 01:30:00,1.92056,long,short,long,long
94,2023-10-09 00:45:00,1.91904,long,short,long,long
95,2023-10-09 00:00:00,1.9174,long,short,long,long
96,2023-10-06 23:15:00,1.91678,long,short,long,long
97,2023-10-06 22:30:00,1.91595,long,short,long,long
98,2023-10-06 21:45:00,1.9158,long,short,long,neutral
99,2023-10-06 21:00:00,1.91506,long,short,long,short
100,2023-10-06 20:15:00,1.91588,long,short,long,short
101,2023-10-06 19:30:00,1.91713,long,short,long,short
102,2023-10-06 18:45:00,1.91735,long,short,long,short
103,2023-10-06 18:00:00,1.91822,long,short,long,neutral
104,2023-10-06 17:15:00,1.9196,long,short,long,long
105,2023-10-06 16:30:00,1.91915,long,short,long,long
106,2023-10-06 15:45:00,1.91756,long,short,long,neutral
107,2023-10-06 15:00:00,1.91672,long,short,long,neutral
108,2023-10-06 14:15:00,1.92055,long,short,long,neutral
109,2023-10-06 13:30:00,1.91968,long,short,long,neutral
110,2023-10-06 12:45:00,1.91986,long,short,long,long
111,2023-10-06 12:00:00,1.91746,long,long,long,long
112,2023-10-06 11:15:00,1.91674,long,long,long,long
113,2023-10-06 10:30:00,1.91634,long,long,short,long
114,2023-10-06 09:45:00,1.91506,long,long,short,neutral
115,2023-10-06 09:00:00,1.91446,long,long,short,neutral
116,2023-10-06 08:15:00,1.91504,long,long,short,long
117,2023-10-06 07:30:00,1.91222,long,long,short,long
118,2023-10-06 06:45:00,1.91138,long,long,short,long
119,2023-10-06 06:00:00,1.91067,long,long,short,neutral
120,2023-10-06 05:15:00,1.91026,long,long,short,neutral
121,2023-10-06 04:30:00,1.91153,long,long,short,neutral
122,2023-10-06 03:45:00,1.91127,long,long,short,neutral
123,2023-10-06 03:00:00,1.91356,long,long,short,long
124,2023-10-06 02:15:00,1.9134,long,long,long,long
125,2023-10-06 01:30:00,1.91307,long,long,long,neutral
126,2023-10-06 00:45:00,1.91294,long,long,long,neutral
127,2023-10-06 00:00:00,1.91434,long,long,long,neutral
128,2023-10-05 23:15:00,1.913785,long,long,long,neutral
129,2023-10-05 22:30:00,1.9138,long,long,long,neutral
130,2023-10-05 21:45:00,1.91378,long,long,long,neutral
131,2023-10-05 21:00:00,1.91415,long,long,long,neutral
132,2023-10-05 20:15:00,1.91409,long,long,long,short
133,2023-10-05 19:30:00,1.91502,long,long,long,short
134,2023-10-05 18:45:00,1.91659,long,long,long,neutral
135,2023-10-05 18:00:00,1.91676,long,long,short,long
136,2023-10-05 17:15:00,1.91492,long,long,short,long
137,2023-10-05 16:30:00,1.9139,long,long,short,neutral
138,2023-10-05 15:45:00,1.91326,long,long,short,neutral
139,2023-10-05 15:00:00,1.91356,long,long,short,long
140,2023-10-05 14:15:00,1.91351,long,long,short,neutral
141,2023-10-05 13:30:00,1.91228,long,long,short,short
142,2023-10-05 12:45:00,1.91294,long,long,short,short
143,2023-10-05 12:00:00,1.91392,long,long,short,neutral
144,2023-10-05 11:15:00,1.91436,long,long,short,neutral
145,2023-10-05 10:30:00,1.91174,long,long,short,neutral
146,2023-10-05 09:45:00,1.91344,long,long,short,long
