,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,UMA,Volume,interval,symbol,ScalpPro8108,Volume2,UMA20,NW
0,2023-10-12 00:00:00,1.91934,neutral,neutral,short,short,short,Interval.in_1_hour,GBPAUD,long,short,long,long
1,2023-10-11 22:00:00,1.92006,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,short,long,long
2,2023-10-11 21:00:00,1.92076,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,long
3,2023-10-11 20:00:00,1.92109,neutral,neutral,short,long,long,Interval.in_1_hour,GBPAUD,long,long,long,short
4,2023-10-11 19:00:00,1.92028,neutral,neutral,short,long,long,Interval.in_1_hour,GBPAUD,long,long,long,short
5,2023-10-11 18:00:00,1.92022,neutral,neutral,short,long,long,Interval.in_1_hour,GBPAUD,long,long,long,short
6,2023-10-11 17:00:00,1.91916,neutral,neutral,short,long,long,Interval.in_1_hour,GBPAUD,long,long,long,short
7,2023-10-11 16:00:00,1.91911,neutral,neutral,short,long,long,Interval.in_1_hour,GBPAUD,long,long,long,short
8,2023-10-11 15:00:00,1.91722,neutral,neutral,short,long,long,Interval.in_1_hour,GBPAUD,long,long,long,long
9,2023-10-11 14:00:00,1.91619,neutral,neutral,short,long,long,Interval.in_1_hour,GBPAUD,long,long,long,long
10,2023-10-11 13:00:00,1.91534,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,long,long,long
11,2023-10-11 12:00:00,1.91342,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,long
12,2023-10-11 11:00:00,1.91203,neutral,neutral,short,short,short,Interval.in_1_hour,GBPAUD,long,short,short,long
13,2023-10-11 10:00:00,1.91282,long,long,short,long,neutral,Interval.in_1_hour,GBPAUD,long,short,short,long
14,2023-10-11 09:00:00,1.91416,neutral,short,short,long,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,long
15,2023-10-11 08:00:00,1.91541,neutral,neutral,short,long,long,Interval.in_1_hour,GBPAUD,long,long,long,long
16,2023-10-11 07:00:00,1.91478,neutral,long,short,long,long,Interval.in_1_hour,GBPAUD,long,long,long,long
17,2023-10-11 06:00:00,1.914,neutral,neutral,short,long,long,Interval.in_1_hour,GBPAUD,long,long,long,long
18,2023-10-11 05:00:00,1.91348,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,long,long,long
19,2023-10-11 04:00:00,1.91174,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,long
20,2023-10-11 03:00:00,1.91018,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,short,long,long
21,2023-10-11 02:00:00,1.91066,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,long
22,2023-10-11 01:00:00,1.91085,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,long,long,long
23,2023-10-11 00:00:00,1.91069,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,long
24,2023-10-10 23:00:00,1.91022,neutral,neutral,short,short,short,Interval.in_1_hour,GBPAUD,long,short,long,long
25,2023-10-10 22:00:00,1.91089,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,short,long,long
26,2023-10-10 21:00:00,1.91164,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,long
27,2023-10-10 20:00:00,1.91254,neutral,short,short,short,neutral,Interval.in_1_hour,GBPAUD,long,long,long,long
28,2023-10-10 19:00:00,1.91228,short,short,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,long
29,2023-10-10 18:00:00,1.9109,neutral,neutral,short,short,short,Interval.in_1_hour,GBPAUD,long,short,long,long
30,2023-10-10 17:00:00,1.91141,neutral,neutral,short,long,short,Interval.in_1_hour,GBPAUD,long,short,long,long
31,2023-10-10 16:00:00,1.91291,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,short,long,long
32,2023-10-10 15:00:00,1.91406,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,long
33,2023-10-10 14:00:00,1.9141,neutral,neutral,short,long,long,Interval.in_1_hour,GBPAUD,long,long,short,long
34,2023-10-10 13:00:00,1.91367,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,long,short,short
35,2023-10-10 12:00:00,1.91226,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,short
36,2023-10-10 11:00:00,1.9113,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,short
37,2023-10-10 10:00:00,1.9116,short,short,short,long,long,Interval.in_1_hour,GBPAUD,long,long,short,short
38,2023-10-10 09:00:00,1.90856,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,long,short,short
39,2023-10-10 08:00:00,1.90776,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,short
40,2023-10-10 07:00:00,1.90754,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,short,short,short
41,2023-10-10 06:00:00,1.90756,neutral,long,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,long
42,2023-10-10 05:00:00,1.90852,short,short,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,long
43,2023-10-10 04:00:00,1.90584,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,long
44,2023-10-10 03:00:00,1.90847,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,long
45,2023-10-10 02:00:00,1.90766,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,short,short,long
46,2023-10-10 01:00:00,1.90942,neutral,long,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,long
47,2023-10-10 00:00:00,1.90972,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,long
48,2023-10-09 23:00:00,1.908635,short,short,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,long
49,2023-10-09 22:00:00,1.90904,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,long
50,2023-10-09 21:00:00,1.90798,neutral,neutral,short,short,short,Interval.in_1_hour,GBPAUD,long,short,short,long
51,2023-10-09 20:00:00,1.91094,neutral,neutral,short,short,short,Interval.in_1_hour,GBPAUD,long,short,short,short
52,2023-10-09 19:00:00,1.91255,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,short,short,long
53,2023-10-09 18:00:00,1.9131,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,long
54,2023-10-09 17:00:00,1.91501,neutral,neutral,short,short,long,Interval.in_1_hour,GBPAUD,long,long,short,long
55,2023-10-09 16:00:00,1.91425,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,long,short,long
56,2023-10-09 15:00:00,1.91351,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,long
57,2023-10-09 14:00:00,1.91204,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,short,short,long
58,2023-10-09 13:00:00,1.91408,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,short
59,2023-10-09 12:00:00,1.9158,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,short
60,2023-10-09 11:00:00,1.9149,neutral,neutral,short,short,short,Interval.in_1_hour,GBPAUD,long,short,short,short
61,2023-10-09 10:00:00,1.91506,neutral,neutral,short,short,short,Interval.in_1_hour,GBPAUD,long,short,short,short
62,2023-10-09 09:00:00,1.91962,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,short,long,short
63,2023-10-09 08:00:00,1.92006,long,long,short,long,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,short
64,2023-10-09 07:00:00,1.92082,neutral,neutral,short,long,long,Interval.in_1_hour,GBPAUD,long,long,long,short
65,2023-10-09 06:00:00,1.92042,neutral,neutral,short,short,long,Interval.in_1_hour,GBPAUD,long,long,long,short
66,2023-10-09 05:00:00,1.91858,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,long,long,short
67,2023-10-09 04:00:00,1.9176,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,short
68,2023-10-09 03:00:00,1.91564,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,short,long,short
69,2023-10-09 02:00:00,1.91852,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,short
70,2023-10-09 01:00:00,1.92093,neutral,neutral,short,long,long,Interval.in_1_hour,GBPAUD,long,long,long,short
71,2023-10-09 00:00:00,1.91972,neutral,neutral,short,long,long,Interval.in_1_hour,GBPAUD,long,long,long,short
72,2023-10-06 23:00:00,1.91678,long,long,short,short,neutral,Interval.in_1_hour,GBPAUD,long,long,long,short
73,2023-10-06 22:00:00,1.91665,neutral,short,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,short
74,2023-10-06 21:00:00,1.9147,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,short,long,short
75,2023-10-06 20:00:00,1.91588,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,short
76,2023-10-06 19:00:00,1.91768,neutral,short,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,short
77,2023-10-06 18:00:00,1.91682,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,short
78,2023-10-06 17:00:00,1.9196,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,long,long,short
79,2023-10-06 16:00:00,1.91836,neutral,long,short,long,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,short
80,2023-10-06 15:00:00,1.91642,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,short
81,2023-10-06 14:00:00,1.92055,long,long,short,long,long,Interval.in_1_hour,GBPAUD,long,long,long,short
82,2023-10-06 13:00:00,1.91992,neutral,neutral,short,long,long,Interval.in_1_hour,GBPAUD,long,long,long,short
83,2023-10-06 12:00:00,1.91876,neutral,neutral,short,long,long,Interval.in_1_hour,GBPAUD,long,long,long,short
84,2023-10-06 11:00:00,1.91674,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,long,long,short
85,2023-10-06 10:00:00,1.91673,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,short
86,2023-10-06 09:00:00,1.91382,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,short
87,2023-10-06 08:00:00,1.91504,neutral,neutral,short,long,long,Interval.in_1_hour,GBPAUD,long,long,short,short
88,2023-10-06 07:00:00,1.91231,neutral,short,short,short,neutral,Interval.in_1_hour,GBPAUD,long,long,short,short
89,2023-10-06 06:00:00,1.91093,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,short
90,2023-10-06 05:00:00,1.91026,neutral,neutral,short,short,short,Interval.in_1_hour,GBPAUD,long,short,long,short
91,2023-10-06 04:00:00,1.91188,neutral,neutral,short,short,short,Interval.in_1_hour,GBPAUD,long,short,long,short
92,2023-10-06 03:00:00,1.91286,neutral,neutral,short,short,short,Interval.in_1_hour,GBPAUD,long,short,long,long
93,2023-10-06 02:00:00,1.9134,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,short,long,long
94,2023-10-06 01:00:00,1.91376,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,long
95,2023-10-06 00:00:00,1.9142,neutral,short,short,short,neutral,Interval.in_1_hour,GBPAUD,long,long,long,long
96,2023-10-05 23:00:00,1.913785,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,long
97,2023-10-05 22:00:00,1.91368,neutral,neutral,short,short,short,Interval.in_1_hour,GBPAUD,long,short,short,long
98,2023-10-05 21:00:00,1.91379,neutral,neutral,short,long,short,Interval.in_1_hour,GBPAUD,long,short,short,long
99,2023-10-05 20:00:00,1.91409,long,long,short,long,neutral,Interval.in_1_hour,GBPAUD,long,short,short,long
100,2023-10-05 19:00:00,1.91554,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,long
101,2023-10-05 18:00:00,1.9174,neutral,neutral,short,long,long,Interval.in_1_hour,GBPAUD,long,long,short,short
102,2023-10-05 17:00:00,1.91492,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,long,short,long
103,2023-10-05 16:00:00,1.91316,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,long
104,2023-10-05 15:00:00,1.9125,neutral,short,short,long,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,long
105,2023-10-05 14:00:00,1.91351,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,long
106,2023-10-05 13:00:00,1.91255,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,short,short,long
107,2023-10-05 12:00:00,1.91376,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,long
108,2023-10-05 11:00:00,1.91436,neutral,long,short,long,long,Interval.in_1_hour,GBPAUD,long,long,short,long
109,2023-10-05 10:00:00,1.91319,neutral,short,short,long,long,Interval.in_1_hour,GBPAUD,long,long,short,long
110,2023-10-05 09:00:00,1.9111,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,long,short,long
111,2023-10-05 08:00:00,1.90982,neutral,short,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,long
112,2023-10-05 07:00:00,1.90764,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,short,short,long
113,2023-10-05 06:00:00,1.90792,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,long
114,2023-10-05 05:00:00,1.91087,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,short,long
115,2023-10-05 04:00:00,1.91074,neutral,neutral,short,short,short,Interval.in_1_hour,GBPAUD,long,short,long,long
116,2023-10-05 03:00:00,1.9151,long,long,short,short,short,Interval.in_1_hour,GBPAUD,long,short,long,long
117,2023-10-05 02:00:00,1.9178,neutral,neutral,short,short,short,Interval.in_1_hour,GBPAUD,long,short,long,long
118,2023-10-05 01:00:00,1.91812,neutral,neutral,short,short,short,Interval.in_1_hour,GBPAUD,long,short,long,long
119,2023-10-05 00:00:00,1.9189,neutral,neutral,short,long,short,Interval.in_1_hour,GBPAUD,long,short,long,long
120,2023-10-04 23:00:00,1.91914,neutral,neutral,short,long,short,Interval.in_1_hour,GBPAUD,long,short,long,long
121,2023-10-04 22:00:00,1.9198,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,short,long,long
122,2023-10-04 21:00:00,1.92006,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,long
123,2023-10-04 20:00:00,1.9202,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,long,long,long
124,2023-10-04 19:00:00,1.91963,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,long
125,2023-10-04 18:00:00,1.91834,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,short,long,short
126,2023-10-04 17:00:00,1.91982,long,long,short,long,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,short
127,2023-10-04 16:00:00,1.9205,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,long,long,short
128,2023-10-04 15:00:00,1.92048,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,short
129,2023-10-04 14:00:00,1.91784,long,long,short,long,neutral,Interval.in_1_hour,GBPAUD,long,neutral,long,short
130,2023-10-04 13:00:00,1.91818,neutral,neutral,short,long,long,Interval.in_1_hour,GBPAUD,long,long,long,short
131,2023-10-04 12:00:00,1.91772,neutral,neutral,short,long,long,Interval.in_1_hour,GBPAUD,long,long,long,short
132,2023-10-04 11:00:00,1.91572,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPAUD,long,long,short,short
