,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,UMA,Volume,interval,symbol,ScalpPro8108,Volume2,UMA20,NW
0,2023-10-12 00:00:00,1.4435,neutral,neutral,short,short,long,Interval.in_1_hour,EURCAD,long,long,long,short
1,2023-10-11 22:00:00,1.44296,neutral,short,short,short,neutral,Interval.in_1_hour,EURCAD,long,long,long,short
2,2023-10-11 21:00:00,1.44281,neutral,neutral,short,short,neutral,Interval.in_1_hour,EURCAD,long,neutral,long,short
3,2023-10-11 20:00:00,1.44268,neutral,neutral,short,long,neutral,Interval.in_1_hour,EURCAD,long,short,long,short
4,2023-10-11 19:00:00,1.44326,long,long,short,long,neutral,Interval.in_1_hour,EURCAD,long,neutral,long,short
5,2023-10-11 18:00:00,1.44531,neutral,neutral,short,long,neutral,Interval.in_1_hour,EURCAD,long,neutral,long,short
6,2023-10-11 17:00:00,1.44376,neutral,neutral,short,long,neutral,Interval.in_1_hour,EURCAD,long,neutral,long,long
7,2023-10-11 16:00:00,1.44378,neutral,short,short,long,neutral,Interval.in_1_hour,EURCAD,long,neutral,long,long
8,2023-10-11 15:00:00,1.4423,neutral,long,short,long,neutral,Interval.in_1_hour,EURCAD,long,neutral,long,long
9,2023-10-11 14:00:00,1.44274,neutral,short,short,long,neutral,Interval.in_1_hour,EURCAD,long,neutral,long,long
10,2023-10-11 13:00:00,1.44186,neutral,neutral,short,long,neutral,Interval.in_1_hour,EURCAD,long,neutral,long,long
11,2023-10-11 12:00:00,1.44262,neutral,neutral,short,long,neutral,Interval.in_1_hour,EURCAD,long,long,long,long
12,2023-10-11 11:00:00,1.44222,neutral,neutral,short,long,neutral,Interval.in_1_hour,EURCAD,long,neutral,long,long
13,2023-10-11 10:00:00,1.44118,neutral,neutral,short,long,neutral,Interval.in_1_hour,EURCAD,long,neutral,long,long
14,2023-10-11 09:00:00,1.44204,neutral,long,short,long,neutral,Interval.in_1_hour,EURCAD,long,long,long,long
15,2023-10-11 08:00:00,1.44162,neutral,neutral,short,long,neutral,Interval.in_1_hour,EURCAD,long,neutral,long,long
16,2023-10-11 07:00:00,1.44102,neutral,neutral,short,long,neutral,Interval.in_1_hour,EURCAD,long,short,long,long
17,2023-10-11 06:00:00,1.44111,neutral,neutral,short,long,neutral,Interval.in_1_hour,EURCAD,long,neutral,long,long
18,2023-10-11 05:00:00,1.44137,neutral,neutral,short,long,long,Interval.in_1_hour,EURCAD,long,long,long,long
19,2023-10-11 04:00:00,1.44134,neutral,long,short,long,neutral,Interval.in_1_hour,EURCAD,long,long,long,long
20,2023-10-11 03:00:00,1.44102,neutral,neutral,short,long,neutral,Interval.in_1_hour,EURCAD,long,neutral,long,long
21,2023-10-11 02:00:00,1.44052,neutral,neutral,short,long,neutral,Interval.in_1_hour,EURCAD,long,neutral,long,long
22,2023-10-11 01:00:00,1.44062,neutral,neutral,short,short,long,Interval.in_1_hour,EURCAD,long,long,long,long
23,2023-10-11 00:00:00,1.44058,neutral,short,short,short,neutral,Interval.in_1_hour,EURCAD,long,long,long,long
24,2023-10-10 23:00:00,1.440445,neutral,short,short,short,neutral,Interval.in_1_hour,EURCAD,long,neutral,long,short
25,2023-10-10 22:00:00,1.44002,neutral,neutral,short,short,short,Interval.in_1_hour,EURCAD,long,short,long,short
