,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,UMA,Volume,interval,symbol,ScalpPro8108,Volume2,UMA20,NW
0,2023-10-12 00:00:00,95.64,long,long,short,long,neutral,Interval.in_1_hour,AUDJPY,long,neutral,long,long
1,2023-10-11 22:00:00,95.647,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDJPY,long,long,long,long
2,2023-10-11 21:00:00,95.615,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDJPY,long,neutral,short,long
3,2023-10-11 20:00:00,95.439,short,short,short,short,neutral,Interval.in_1_hour,AUDJPY,long,neutral,short,long
4,2023-10-11 19:00:00,95.509,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDJPY,long,neutral,short,long
5,2023-10-11 18:00:00,95.459,long,long,short,long,neutral,Interval.in_1_hour,AUDJPY,long,short,long,long
6,2023-10-11 17:00:00,95.678,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDJPY,long,neutral,long,long
7,2023-10-11 16:00:00,95.712,neutral,neutral,short,long,long,Interval.in_1_hour,AUDJPY,long,long,long,long
8,2023-10-11 15:00:00,95.61,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDJPY,long,long,long,long
9,2023-10-11 14:00:00,95.457,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDJPY,long,neutral,short,long
10,2023-10-11 13:00:00,95.434,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDJPY,long,short,long,long
11,2023-10-11 12:00:00,95.459,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDJPY,long,neutral,long,long
12,2023-10-11 11:00:00,95.485,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDJPY,long,neutral,long,long
13,2023-10-11 10:00:00,95.47,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDJPY,long,neutral,long,long
14,2023-10-11 09:00:00,95.575,neutral,long,short,short,neutral,Interval.in_1_hour,AUDJPY,long,neutral,long,long
15,2023-10-11 08:00:00,95.528,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDJPY,long,neutral,long,long
16,2023-10-11 07:00:00,95.58,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDJPY,long,long,long,long
17,2023-10-11 06:00:00,95.578,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDJPY,long,neutral,long,long
18,2023-10-11 05:00:00,95.57,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDJPY,long,short,long,long
19,2023-10-11 04:00:00,95.617,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDJPY,long,neutral,long,long
20,2023-10-11 03:00:00,95.662,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDJPY,long,long,long,long
