,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,uma3,uma4,uma5,uma6,uma7,uma8,uma9,uma10,uma11,uma12,uma13,uma14,uma15,uma16,uma17,uma18,uma19,uma20
0,2023-10-27 12:00:00,OANDA:EURUSD,1.05618,1.05645,1.05614,1.05635,314.0,Interval.in_30_minute,57412800.0,long,long,long,short,short,short,short,short,short,short,short,long,long,long,long,long,short,short
1,2023-10-27 11:30:00,OANDA:EURUSD,1.05584,1.05625,1.05566,1.05618,1488.0,Interval.in_30_minute,57411000.0,long,long,short,short,short,short,short,short,short,short,short,long,long,long,short,short,short,short
2,2023-10-27 11:00:00,OANDA:EURUSD,1.05586,1.05606,1.0554,1.05584,2073.0,Interval.in_30_minute,57409200.0,long,short,short,short,short,short,short,short,short,short,long,long,short,short,short,short,short,short
3,2023-10-27 10:30:00,OANDA:EURUSD,1.05617,1.05617,1.05525,1.05586,1795.0,Interval.in_30_minute,57407400.0,short,short,short,short,short,short,short,short,short,long,long,long,short,short,short,short,short,short
4,2023-10-27 10:00:00,OANDA:EURUSD,1.05562,1.05632,1.05522,1.05617,1908.0,Interval.in_30_minute,57405600.0,short,short,short,short,short,short,short,short,long,long,long,short,short,short,short,short,short,short
5,2023-10-27 09:30:00,OANDA:EURUSD,1.0557,1.056065,1.05553,1.05562,1733.0,Interval.in_30_minute,57403800.0,short,short,short,short,short,short,short,long,long,short,short,short,short,short,short,short,short,short
6,2023-10-27 09:00:00,OANDA:EURUSD,1.05694,1.05699,1.05547,1.0557,1988.0,Interval.in_30_minute,57402000.0,short,short,short,short,short,long,long,long,long,long,short,short,short,long,long,long,long,long
7,2023-10-27 08:30:00,OANDA:EURUSD,1.05668,1.05701,1.05658,1.05694,756.0,Interval.in_30_minute,57400200.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
8,2023-10-27 08:00:00,OANDA:EURUSD,1.05673,1.05692,1.05654,1.05668,860.0,Interval.in_30_minute,57398400.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
9,2023-10-27 07:30:00,OANDA:EURUSD,1.05654,1.05679,1.0565,1.05673,519.0,Interval.in_30_minute,57396600.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
10,2023-10-27 07:00:00,OANDA:EURUSD,1.05644,1.05668,1.05634,1.05654,635.0,Interval.in_30_minute,57394800.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
11,2023-10-27 06:30:00,OANDA:EURUSD,1.05641,1.05651,1.0561,1.05644,524.0,Interval.in_30_minute,57393000.0,long,long,long,long,long,long,short,long,long,long,long,long,long,long,long,long,long,long
12,2023-10-27 06:00:00,OANDA:EURUSD,1.05646,1.05655,1.05624,1.05641,779.0,Interval.in_30_minute,57391200.0,long,long,long,long,long,neutral,long,long,long,long,long,long,long,long,long,long,long,long
13,2023-10-27 05:30:00,OANDA:EURUSD,1.05624,1.05668,1.05624,1.05646,820.0,Interval.in_30_minute,57389400.0,long,long,long,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long
14,2023-10-27 05:00:00,OANDA:EURUSD,1.05588,1.0564,1.05588,1.05624,896.0,Interval.in_30_minute,57387600.0,long,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long
15,2023-10-27 04:30:00,OANDA:EURUSD,1.05542,1.05624,1.05533,1.05588,1203.0,Interval.in_30_minute,57385800.0,short,short,short,short,short,short,short,short,short,long,short,short,long,long,long,long,long,long
16,2023-10-27 04:00:00,OANDA:EURUSD,1.05579,1.05585,1.05526,1.05542,1448.0,Interval.in_30_minute,57384000.0,short,short,short,short,short,short,short,short,long,short,short,long,long,long,long,long,long,long
17,2023-10-27 03:30:00,OANDA:EURUSD,1.05598,1.05618,1.05558,1.05579,1563.0,Interval.in_30_minute,57382200.0,short,short,short,short,short,short,short,long,long,short,long,long,long,long,long,long,long,long
18,2023-10-27 03:00:00,OANDA:EURUSD,1.0564,1.05646,1.05574,1.05598,985.0,Interval.in_30_minute,57380400.0,short,short,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long
19,2023-10-27 02:30:00,OANDA:EURUSD,1.05642,1.05658,1.05627,1.0564,1933.0,Interval.in_30_minute,57378600.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
20,2023-10-27 02:00:00,OANDA:EURUSD,1.05645,1.05658,1.0563,1.05642,621.0,Interval.in_30_minute,57376800.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
21,2023-10-27 01:30:00,OANDA:EURUSD,1.05634,1.056505,1.05629,1.05645,291.0,Interval.in_30_minute,57375000.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
22,2023-10-27 01:00:00,OANDA:EURUSD,1.05616,1.05655,1.05614,1.05634,428.0,Interval.in_30_minute,57373200.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
23,2023-10-27 00:30:00,OANDA:EURUSD,1.05618,1.05631,1.05609,1.05616,200.0,Interval.in_30_minute,57371400.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
24,2023-10-27 00:00:00,OANDA:EURUSD,1.05639,1.05642,1.05592,1.05618,221.0,Interval.in_30_minute,57369600.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
25,2023-10-26 23:30:00,OANDA:EURUSD,1.05616,1.05644,1.05578,1.05639,708.0,Interval.in_30_minute,57367800.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
26,2023-10-26 23:00:00,OANDA:EURUSD,1.05566,1.05627,1.05552,1.05616,1095.0,Interval.in_30_minute,57366000.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
27,2023-10-26 22:30:00,OANDA:EURUSD,1.05544,1.05583,1.05484,1.05566,1583.0,Interval.in_30_minute,57364200.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
28,2023-10-26 22:00:00,OANDA:EURUSD,1.0561,1.05633,1.05539,1.05544,1599.0,Interval.in_30_minute,57362400.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
29,2023-10-26 21:30:00,OANDA:EURUSD,1.0558,1.05648,1.05578,1.0561,1732.0,Interval.in_30_minute,57360600.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
