,datetime,close_price,ScalpPro,NW,UMA,Volume
0,2023-10-12 00:45:00,0.87192,long,long,long,neutral
1,2023-10-12 00:15:00,0.87178,long,long,long,neutral
2,2023-10-12 00:00:00,0.87244,long,long,short,long
3,2023-10-11 23:45:00,0.87187,long,long,short,neutral
4,2023-10-11 23:30:00,0.87183,long,long,short,short
5,2023-10-11 23:15:00,0.87189,long,long,long,neutral
6,2023-10-11 23:00:00,0.87202,long,long,short,neutral
7,2023-10-11 22:45:00,0.87162,long,long,short,neutral
8,2023-10-11 22:30:00,0.87167,long,long,short,long
9,2023-10-11 22:15:00,0.87156,long,long,short,long
10,2023-10-11 22:00:00,0.87142,long,long,short,neutral
11,2023-10-11 21:45:00,0.87134,long,long,short,neutral
12,2023-10-11 21:30:00,0.87136,long,long,short,long
13,2023-10-11 21:15:00,0.87109,long,long,short,neutral
14,2023-10-11 21:00:00,0.87084,long,long,short,neutral
15,2023-10-11 20:45:00,0.87102,long,long,short,neutral
16,2023-10-11 20:30:00,0.87022,long,long,short,short
17,2023-10-11 20:15:00,0.8713,long,short,short,neutral
18,2023-10-11 20:00:00,0.87132,long,short,short,neutral
19,2023-10-11 19:45:00,0.87129,long,short,short,neutral
20,2023-10-11 19:30:00,0.87139,long,short,short,neutral
21,2023-10-11 19:15:00,0.87132,long,short,short,short
22,2023-10-11 19:00:00,0.872,long,short,short,neutral
23,2023-10-11 18:45:00,0.87247,long,short,short,long
24,2023-10-11 18:30:00,0.87218,long,short,short,long
25,2023-10-11 18:15:00,0.87195,long,short,short,long
26,2023-10-11 18:00:00,0.87187,long,short,short,neutral
27,2023-10-11 17:45:00,0.87183,long,short,short,neutral
28,2023-10-11 17:30:00,0.87262,long,short,short,long
29,2023-10-11 17:15:00,0.87246,long,short,short,neutral
30,2023-10-11 17:00:00,0.87232,long,short,short,neutral
31,2023-10-11 16:45:00,0.87277,long,short,short,neutral
32,2023-10-11 16:30:00,0.87215,long,short,short,short
33,2023-10-11 16:15:00,0.87274,long,short,long,neutral
34,2023-10-11 16:00:00,0.87283,long,short,long,neutral
35,2023-10-11 15:45:00,0.87262,long,short,short,neutral
36,2023-10-11 15:30:00,0.87274,long,short,short,neutral
37,2023-10-11 15:15:00,0.87258,long,short,short,neutral
38,2023-10-11 15:00:00,0.87276,long,short,long,long
39,2023-10-11 14:45:00,0.87261,long,short,long,long
40,2023-10-11 14:30:00,0.87258,long,short,long,neutral
41,2023-10-11 14:15:00,0.87251,long,short,long,neutral
42,2023-10-11 14:00:00,0.87294,long,short,long,neutral
43,2023-10-11 13:45:00,0.87278,long,short,long,neutral
44,2023-10-11 13:30:00,0.8728,long,short,long,neutral
45,2023-10-11 13:15:00,0.8727,long,short,short,short
